spot_id,count,calculated_at,lat,lng,spot_name
1,71,2017-07-06 16:06:00,33.596531,130.222394,Dining hall A
2,43,2017-07-06 16:06:00,33.597103,130.223915,Dining hall B
3,52,2017-07-06 16:06:00,33.59696,130.223975,Learning space
4,33,2017-07-06 16:06:00,33.596632,130.222811,Dining hall C
5,15,2017-07-06 16:06:00,33.596727,130.22333,Spot 5
6,6,2017-07-06 16:06:00,33.596846,130.222731,Spot 6
7,14,2017-07-06 16:06:00,33.597002,130.223279,Spot 7
8,28,2017-07-06 16:06:00,33.597229,130.223933,Spot 8
9,36,2017-07-06 16:06:00,33.597335,130.224375,Spot 9
10,18,2017-07-06 16:06:00,33.597365,130.223534,Spot 10
11,7,2017-07-06 16:06:00,33.597235,130.223057,Spot 11
12,9,2017-07-06 16:06:00,33.597075,130.222478,Spot 12
13,15,2017-07-06 16:06:00,33.597546,130.222768,Spot 13
14,22,2017-07-06 16:06:00,33.597816,130.223867,Spot 14
15,29,2017-07-06 16:06:00,33.5981,130.223545,Spot 15
16,33,2017-07-06 16:06:00,33.597904,130.223072,Spot 16
17,20,2017-07-06 16:06:00,33.597745,130.22192,Bus stop A
18,23,2017-07-06 16:06:00,33.597645,130.221516,Bus stop B
